```csv
"reporter_name","reporter_location_city","reporter_location_country","reporter_location_latitude","reporter_location_longitude","report_text","station_location_city","station_location_country","station_location_latitude","station_location_longitude"
"Musicus","","","","","Malmoe or Goteborg.","Malmö","Sweden","55.6050","13.0038"
"One-Valver","","","","","Nuremberg (341m.) relaying Munich.","Nuremberg","Germany","49.4521","11.0767"
"Etherhog","","","","","E.A.J.4 Madrid (R. Castilla).","Madrid","Spain","40.4168","-3.7038"
"Leicester","","","","","Madrid (Castilla, E.A.J.4), 304m., or R. Barcelona (E.A.J.1).","Madrid","Spain","40.4168","-3.7038"
"Interested","","","","","Probably R. Toulouse (441m.).","Toulouse","France","43.6047","1.4442"
"Wand","","","","","Daventry.","Daventry","United Kingdom","52.2565","-1.1604"
"Squarelaw","","","","","E.A.J.4 or E.A.J.6.","Madrid","Spain","40.4168","-3.7038"
"Pop","","","","","Probably R. Barcelona E.A.J.1 (325m).","Barcelona","Spain","41.3851","2.1734"
"Topples","","","","","Probably Radio Paris.","Paris","France","48.8566","2.3522"
"Another Amateur","","","","","Toulouse (doubtful).","Toulouse","France","43.6047","1.4442"
"Bernutrard","","","","","Not traceable.","","","",""
"Kaye Jaye","","","","","Portland, Oregon (K.G.W.), 491.5m.","Portland","United States","45.5051","-122.6750"
"R.D.C.","","","","","Probably Union Radio, Madrid (E.A.J.7).","Madrid","Spain","40.4168","-3.7038"
"J.E.W.","","","","","Not traceable on this wavelength.","","","",""
"Geebee","","","","","Probably Bilbao (E.A.J.11).","Bilbao","Spain","43.2630","-2.9350"
"Puzzled","Leominster","","","","Daventry relaying 2LO.","Daventry","United Kingdom","52.2565","-1.1604"
"Spero","","","","","If time was a.m., Koenigs Wusterhausen.","Königs Wusterhausen","Germany","52.3036","13.6333"
"W.W.W.","","","","","Not traceable.","","","",""
"Ecivon","","","","","Not sufficient details.","","","",""
"Gay Blondel","","","","","Nov. 7, Hilversum - Nov. 11th probably Radio Paris, but no time given.","Hilversum","Netherlands","52.2292","5.1669"
"Peter","","","","","Vague details, possibly Koenigsberg.","Kaliningrad","Russia","54.7104","20.4522"
"Enquirer","","","","","Munich, possibly.","Munich","Germany","48.1351","11.5820"
"Quisisana","","","","","Buda Pest.","Budapest","Hungary","47.4979","19.0402"
"Neutrodyne","","","","","Probably Hamburg.","Hamburg","Germany","53.5511","9.9937"
"Bert S.","","","","","Yes, quite likely Cadiz.","Cádiz","Spain","36.5164","-6.2994"
"Searcher","","","","","your estimated wavelength very doubtful; certainly not Berlin.","Berlin","Germany","52.5200","13.4050"
"Medicus","","","","","Possibly Helsingfors.","Helsinki","Finland","60.1695","24.9354"
```
